emp_id,year,rating
1030,2023,1.5
1001,2023,2.6
1017,2023,4.7
1047,2023,3.8
1018,2024,1.4
1012,2023,3.1
1053,2022,1.7
1015,2022,3.3
1027,2022,4.3
1020,2023,4.4
1028,2023,4.8
1024,2023,3.3
1040,2022,2.6
1018,2022,4.8
1021,2022,3.0
1044,2023,2.1
1024,2023,1.5
1054,2023,4.1
1023,2023,2.5
1011,2024,4.0
1049,2024,4.5
1005,2023,3.4
1029,2022,2.7
1031,2024,2.7
1008,2024,1.4
1002,2023,4.2
1022,2023,3.1
1044,2022,2.9
1034,2024,2.2
1052,2023,1.5
1053,2024,3.8
1045,2023,1.4
1005,2024,1.3
1017,2022,4.0
1024,2023,1.8
1037,2023,1.5
1010,2023,2.5
1018,2022,3.2
1038,2023,3.7
1030,2023,3.2
1045,2023,3.2
1018,2022,2.8
1055,2023,4.3
1034,2023,2.6
1060,2022,1.3
1029,2024,3.0
1013,2022,2.0
1045,2024,1.3
1049,2024,1.6
1036,2023,2.3
1013,2023,4.8
1049,2022,3.2
1025,2022,4.3
1037,2023,4.3
1010,2023,2.6
1060,2022,2.9
1011,2024,3.8
1009,2024,1.5
1051,2023,2.6
1001,2022,3.3
1023,2023,1.9
1040,2024,1.2
1025,2023,1.2
1034,2023,4.5
1016,2024,2.0
1048,2022,1.7
1046,2023,4.2
1031,2023,2.6
1038,2023,2.4
1012,2022,1.4
1007,2023,2.0
1040,2023,3.0
1022,2024,4.8
1041,2023,1.4
1018,2023,4.9
1016,2024,4.9
1045,2024,2.1
1001,2022,3.6
1008,2024,4.0
1013,2022,2.6
1034,2024,2.9
1046,2022,2.3
1049,2023,3.6
1045,2024,2.9
1049,2024,1.7
1049,2023,3.3
1048,2022,4.7
1028,2024,1.8
1059,2024,4.2
1031,2024,3.1
1052,2024,4.3
1013,2023,3.3
1014,2023,1.4
1031,2023,2.2
1018,2024,4.2
1057,2023,3.0
1050,2024,3.4
1009,2023,2.2
1014,2023,3.5
1022,2024,1.1
1038,2022,1.6
1029,2023,2.2
1041,2024,2.9
1005,2024,2.0
1005,2022,3.5
1051,2022,4.3
1030,2023,1.4
1001,2023,2.2
1033,2023,3.6
1031,2024,3.4
1053,2022,4.3
1053,2024,3.7
1003,2022,4.2
1035,2022,1.0
1014,2023,1.5
1022,2024,4.4
1056,2024,3.4
1060,2024,1.6
1048,2022,2.8
1007,2022,3.0
1033,2024,3.6
1007,2022,3.6
1060,2022,4.1
1011,2023,4.9
1023,2024,3.1
1048,2023,4.7
1049,2022,3.9
1037,2024,4.3
1027,2023,1.4
1040,2022,1.9
1048,2023,1.9
1001,2023,3.4
1012,2022,2.1
1031,2024,1.8
1017,2024,4.8
1056,2022,2.9
1039,2024,3.1
1060,2023,2.9
1035,2022,2.9
1035,2023,2.0
1056,2024,2.3
1053,2023,4.5
1059,2022,4.7
1046,2023,2.1
1037,2022,2.8
1037,2023,1.7
1009,2022,4.2
1056,2024,3.6
1056,2022,4.2
1059,2023,4.8
1031,2024,4.2
1056,2022,4.0
1023,2023,1.1
1041,2022,1.9
1024,2022,4.8
1028,2023,1.7
1014,2023,4.7
1048,2023,3.1
1056,2022,3.2
1034,2024,4.6
1051,2023,1.5
1031,2023,4.5
1055,2023,2.7
1006,2024,1.6
1045,2023,3.3
1023,2023,1.3
1022,2024,3.5
1001,2022,4.1
1037,2024,4.3
1036,2024,1.5
1039,2024,3.1
1054,2023,3.6
1027,2024,4.5
1048,2022,3.9
1035,2022,2.5
1051,2023,1.2
1040,2022,2.0
1023,2024,1.3
1058,2022,3.9
1013,2024,1.0
1044,2022,2.6
1030,2023,3.7
1045,2024,4.3
1060,2022,4.8
1051,2023,4.6
1051,2022,2.9
1052,2022,2.8
1028,2024,1.1
1052,2024,1.3
1051,2023,2.5
1005,2023,2.4
1021,2024,4.8
1021,2022,4.5
1011,2022,2.8
1006,2023,4.5
1044,2023,1.6
1035,2024,2.2
1008,2024,4.8
1051,2022,1.4
1049,2024,2.3
1017,2024,1.5
1026,2022,4.5
1015,2022,3.5
1056,2023,4.7
1002,2024,1.6
1040,2022,2.3
1001,2024,1.9
1043,2024,3.3
1047,2022,3.7
1052,2024,3.2
1032,2024,2.4
1042,2023,2.3
1028,2022,1.6
1031,2023,4.5
1029,2022,4.6
1039,2024,1.6
1005,2022,4.0
1047,2024,4.9
1019,2023,2.2
1017,2023,1.2
1030,2023,1.0
1042,2022,3.7
1019,2024,2.3
1006,2023,4.6
1036,2023,3.4
1025,2022,2.1
1054,2022,4.8
1022,2022,5.0
1038,2024,3.1
1007,2023,4.2
1049,2024,4.5
1029,2023,2.7
1013,2023,4.9
1020,2023,2.1
1017,2022,3.7
1060,2024,4.3
1011,2024,3.0
1016,2022,2.7
1030,2022,1.6
1045,2023,1.2
